"","production_year","country_of_origin","mileage","aso_serviced","power","title","color","brand","metallic","price","first_registration","version","location","collision_free","model","type","fuel_type","lat","lon"
"1",2002,"Poland",173000,"","97 KM","Toyota Corolla Toyota Corolla-Bezwypadkowy-Ekonomiczny-Prywatny wlasciciel","Niebieski","Toyota","",12500,"","Seria E12 (2001-2007)","Gniezno","Tak","Corolla","Sedan/Limuzyna","Benzyna",52.5349253,17.5826575
"2",2003,"Poland",249000,"Tak","90 KM","Toyota Corolla Polski salon - ogloszenie prywatne","Srebrny","Toyota","Tak",13900,"pazdziernik 2003","Seria E12 (2001-2007)","Sierpc","Tak","Corolla","Kombi","Diesel",52.8568142,19.669432
"3",2003,"Germany",223000,"","100 KM","Toyota Corolla","Srebrny","Toyota","Tak",7200,"kwiecien 2003","Seria E12 (2001-2007)","Lublin","","Corolla","Hatchback","Diesel",51.2464536,22.5684463
"4",2002,"Germany",170000,"Tak","97 KM","Toyota Corolla","Niebieski","Toyota","Tak",11300,"","Seria E12 (2001-2007)","Skarzysko-Kamienna","Tak","Corolla","Hatchback","Benzyna",51.114294,20.8477827
"5",2003,"",208633,"","116 KM","Toyota Corolla Prywatne ogloszenie POLECAM","Srebrny","Toyota","Tak",12700,"","Seria E12 (2001-2007)","Laski","Tak","Corolla","Hatchback","Diesel",52.2931267,20.8469346
"6",2005,"",102000,"","","Toyota Corolla z Anglii Anglik V5C","Inny kolor","Toyota","",5699,"","Seria E12 (2001-2007)","Kaweczyn 1 - 87-123 Dobrzejewice, torunski, Kujawsko-pomorskie","","Corolla","Sedan/Limuzyna","Benzyna",52.9970669,18.840536
"7",2000,"",169000,"","97 KM","Toyota Corolla 1.4 VVTI Lift Kombi","Czerwony","Toyota","",4800,"","Seria E11 (1997-2002)","Rumia","","Corolla","Kombi","Benzyna",54.5707832,18.3878224
"8",1994,"USA",1590000,"","69 KM","Toyota Corolla Toyota Corolla - Tercel 1,5 LS","Niebieski","Toyota","Tak",4500,"sierpien 1995","Seria E10 (1992-1997)","Warszawa","Tak","Corolla","Sedan/Limuzyna","Benzyna",52.2296756,21.0122287
"9",1998,"Poland",159000,"","85 KM","Toyota Corolla","Inny kolor","Toyota","",4700,"sierpien 1998","Seria E11 (1997-2002)","Zabrze","","Corolla","Hatchback","Benzyna",50.3249278,18.7857186
"10",2002,"",160000,"","90 KM","Toyota Corolla zarejestrowana klimatyzacja","Zielony","Toyota","Tak",10900,"luty 2002","Seria E12 (2001-2007)","Skibin 26a - 88-200 Radziejów, radziejowski, Kujawsko-pomorskie","","Corolla","Hatchback","Diesel",52.62515,18.6017769
"11",2003,"Germany",189000,"Tak","116 KM","Toyota Corolla 2.0 D4D * 116 Ps * Serwis * Super Stan * Po Oplatach ! !","Srebrny","Toyota","Tak",11900,"","Seria E12 (2001-2007)","ZYMIERSKIEGO 17A - 66-200 Swiebodzin, swiebodzinski, Lubuskie","Tak","Corolla","Kombi","Diesel",52.253405,15.530219
"12",2002,"Austria",206000,"","110 KM","Toyota Corolla Ksiazka serwisowa ! Oryginal lakier !","Srebrny","Toyota","Tak",12500,"","Seria E12 (2001-2007)","ul. Krakowska 16A - 32-851 Jadowniki, gm. Brzesko, brzeski, Malopolskie","","Corolla","Hatchback","Diesel",49.9647187,20.6034471
"13",2002,"",201164,"","110 KM","Toyota Corolla Oferta prywatna, auto bezwypadkowe !!!","Czarny","Toyota","",12500,"","Seria E12 (2001-2007)","Maków Mazowiecki","Tak","Corolla","Hatchback","Diesel",52.8649711,21.1001154
"14",2005,"Poland",142000,"","90 KM","Toyota Corolla 142.000 km 1.4 d4d diesel ladny egemplarz poliftowa","Czerwony","Toyota","",14900,"","Seria E12 (2001-2007)","Wasilków","","Corolla","Kombi","Diesel",53.1986,23.20779
"15",2003,"",219000,"Tak","90 KM","Toyota Corolla Bezwypadkowa SOL Nowy Rozrzad","Inny kolor","Toyota","Tak",12900,"czerwiec 2003","Seria E12 (2001-2007)","Bialystok","Tak","Corolla","Kombi","Diesel",53.1324886,23.1688403
"16",2003,"Poland",202500,"","110 KM","Toyota Corolla","Bordowy","Toyota","",12000,"","Seria E12 (2001-2007)","Poznan","Tak","Corolla","Kombi","Benzyna",52.406374,16.9251681
"17",2005,"Germany",142000,"Tak","110 KM","Toyota Corolla Stan bardzo ladny Bezwypadek udokumentowany przebie z Niemiec","Srebrny","Toyota","Tak",19800,"","Seria E12 (2001-2007)","ELEKTRYCZNA 2 - 33-100 Tarnów, Malopolskie","Tak","Corolla","Kombi","Benzyna",50.032047,20.9686889
"18",2004,"Poland",232000,"","98 KM","Toyota Corolla samochód uszkodzony,klimatyzacja ,srebrny metalic","Srebrny","Toyota","Tak",5300,"lipiec 2004","Seria E12 (2001-2007)","Piaseczno","","Corolla","Hatchback","Benzyna",52.0811536,21.0238602
"19",2005,"",191000,"","90 KM","Toyota Corolla 1.4D-4D 90Ps Po oplatach *KLIMA*Lift*Sport LINE*","Srebrny","Toyota","Tak",17900,"","Seria E12 (2001-2007)","Warszawska 31 - 21-400 Luków, lukowski, Lubelskie","Tak","Corolla","Hatchback","Diesel",51.9255436,22.3695048
"20",1998,"",226234,"","84 KM","Toyota Corolla serwisowana-super stan","Srebrny","Toyota","Tak",5500,"","Seria E11 (1997-2002)","Aleksandrów Kujawski","","Corolla","Hatchback","Benzyna",52.8765762,18.6934503
"21",2003,"",249000,"Tak","110 KM","Toyota Corolla Sliczna==1.6 VVT-I 110KM==alusy==benzyna==do jazdy","Niebieski","Toyota","Tak",10700,"","Seria E12 (2001-2007)","Kielce","Tak","Corolla","Hatchback","Benzyna",50.8660773,20.6285677
"22",2004,"Germany",165000,"Tak","110 KM","Toyota Corolla 110 PS / Import Niemcy ! ! !","Inny kolor","Toyota","Tak",16700,"sierpien 2004","Seria E12 (2001-2007)","RADOM - 26-600 Radom, Mazowieckie","","Corolla","Kombi","Benzyna",51.4027236,21.1471333
"23",1995,"Poland",240000,"","80 KM","Toyota Corolla e10 1,3 XLI 5cio drzwiowa sprawna do jazdy od zaraz polecam","Zielony","Toyota","",4200,"","Seria E10 (1992-1997)","Szczecin","Tak","Corolla","Sedan/Limuzyna","Benzyna",53.4285438,14.5528116
"24",2003,"Poland",130000,"Tak","97 KM","Toyota Corolla 1.4 BENZ. krajowa stan BDB","Srebrny","Toyota","Tak",12300,"","Seria E12 (2001-2007)","Sasiedzka 16 - 43-300 Bielsko-Biala, Slaskie","","Corolla","Hatchback","Benzyna",49.80215,19.070598
"25",2003,"Germany",138000,"","116 KM","Toyota Corolla 2.0 D4D climatronic 5 d igla!!!","Srebrny","Toyota","Tak",14300,"wrzesien 2003","Seria E12 (2001-2007)","szkolna 18 - 72-100 Goleniów, goleniowski, Zachodniopomorskie","Tak","Corolla","Hatchback","Diesel",53.565379,14.835526
"26",2004,"Germany",172848,"Tak","116 KM","Toyota Corolla 2.0 D4D Klima 5 drzwi Oplacona Sliczna z Gwarancja","Szary","Toyota","Tak",15800,"kwiecien 2004","Seria E12 (2001-2007)","Rejowiecka 170 A - 22-100 Chelm, Lubelskie","Tak","Corolla","Hatchback","Diesel",51.1432469,23.46766
"27",1997,"Poland",265000,"Tak","75 KM","Toyota Corolla Niezawodna rodzinna Corolla E11 1.3 kombi od pierwszego wlasciciela!","Srebrny","Toyota","Tak",4500,"listopad 1997","Seria E11 (1997-2002)","Chorzów","","Corolla","Kombi","Benzyna",50.2974884,18.9545728
"28",2004,"Austria",95000,"Tak","","Toyota Corolla 1,4 benzyna lift oplacony/////","Srebrny","Toyota","Tak",16500,"","Seria E12 (2001-2007)","Bielsko-Biala","","Corolla","Hatchback","Benzyna",49.8223768,19.0583845
"29",2003,"Poland",269000,"","97 KM","Toyota Corolla Toyota Corolla E12 Kombi 1,4 VVT-i 16V stan bdb - tanio","Niebieski","Toyota","",7990,"pazdziernik 2003","Seria E12 (2001-2007)","Poznan","Tak","Corolla","Kombi","Benzyna",52.406374,16.9251681
"30",2003,"",229078,"","116 KM","Toyota Corolla 2.0 D4D","Srebrny","Toyota","Tak",13200,"","Seria E12 (2001-2007)","Mszczonów","","Corolla","Hatchback","Diesel",51.982047,20.5216182
